Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2019-04-09 22:39:04;2019-04-10 06:56:48;94%;96%;;0;0;Normal;100.3;;91.0;29864.0;26180.7;1592.7;2019-04-10 06:50:00;2019-04-10 07:05:00;true;2365.0;32.0;No weather;
2019-04-10 22:51:17;2019-04-11 06:43:09;90%;96%;;0;0;Normal;100.8;;87.6;28311.5;23970.4;4341.1;2019-04-11 06:35:00;2019-04-11 06:50:00;true;3966.0;32.0;No weather;
2019-04-11 23:01:36;2019-04-12 06:52:20;71%;96%;;0;0;Normal;102.3;;134.8;28243.2;26172.0;2071.2;2019-04-12 06:40:00;2019-04-12 06:55:00;true;4359.0;32.0;No weather;
2019-04-14 22:57:13;2019-04-15 06:37:32;87%;97%;;0;0;Normal;99.1;;89.8;27618.3;24304.1;2485.6;2019-04-15 06:30:00;2019-04-15 06:45:00;true;2646.0;32.0;No weather;
2019-04-15 22:36:20;2019-04-16 06:48:52;94%;96%;;0;0;Normal;100.1;;86.7;29551.7;27187.5;2364.1;2019-04-16 06:35:00;2019-04-16 06:50:00;true;8263.0;32.0;No weather;
2019-04-16 23:12:19;2019-04-17 06:47:30;79%;95%;;0;0;Normal;101.6;;106.9;27311.5;24944.5;2367.0;2019-04-17 06:35:00;2019-04-17 06:50:00;true;7924.0;32.0;No weather;
2019-04-17 22:44:42;2019-04-18 06:37:31;94%;95%;;0;0;Normal;101.3;;78.5;28368.5;24964.3;1985.8;2019-04-18 06:35:00;2019-04-18 06:50:00;true;5949.0;32.0;No weather;
2019-04-18 23:40:51;2019-04-19 06:45:02;89%;94%;;0;0;Normal;100.9;;62.8;25450.5;22650.9;1696.7;2019-04-19 06:40:00;2019-04-19 06:55:00;true;3294.0;32.0;No weather;
2019-04-22 21:59:15;2019-04-23 06:36:42;100%;0%;;0;0;Normal;100.8;;73.1;31047.0;28666.8;2380.3;2019-04-23 06:35:00;2019-04-23 06:50:00;true;4552.0;32.0;No weather;
2019-04-23 22:37:54;2019-04-24 06:44:29;100%;94%;;0;0;Normal;100.6;;61.4;29195.8;25497.7;2141.0;2019-04-24 06:35:00;2019-04-24 06:50:00;true;1590.0;32.0;No weather;
2019-04-24 22:42:50;2019-04-25 06:47:50;0%;96%;;0;0;Normal;100.2;;0.0;0.0;27354.4;1746.0;2019-04-25 06:40:00;2019-04-25 06:55:00;false;0.0;32.0;No weather;
2019-04-25 22:20:48;2019-04-26 06:51:53;90%;96%;;0;0;Normal;100.4;;99.0;30664.5;26269.2;3679.7;2019-04-26 06:40:00;2019-04-26 06:55:00;true;2718.0;32.0;No weather;
2019-04-28 23:12:50;2019-04-29 06:45:44;92%;92%;;0;0;Normal;101.5;;63.2;27173.6;20289.6;4166.6;2019-04-29 06:40:00;2019-04-29 06:55:00;true;2175.0;32.0;No weather;
2019-04-29 22:51:04;2019-04-30 06:49:57;76%;96%;;0;0;Normal;101.5;;121.0;28733.0;24614.6;1053.5;2019-04-30 06:40:00;2019-04-30 06:55:00;true;5568.0;32.0;No weather;
2019-04-30 23:10:36;2019-05-01 06:17:41;0%;95%;;0;0;Normal;102.7;;0.0;0.0;23830.8;1793.7;2019-05-01 06:40:00;2019-05-01 06:55:00;false;0.0;32.0;No weather;
2019-05-01 22:54:22;2019-05-02 06:50:17;85%;94%;;0;0;Normal;101.4;;94.8;28555.0;24081.4;1618.1;2019-05-02 06:40:00;2019-05-02 06:55:00;true;3354.0;32.0;No weather;
2019-05-02 22:52:05;2019-05-03 06:41:44;71%;95%;;0;0;Normal;102.0;;130.1;28179.6;27240.3;939.3;2019-05-03 06:40:00;2019-05-03 06:55:00;true;4833.0;32.0;No weather;
2019-05-05 23:16:27;2019-05-06 06:37:42;87%;96%;;0;0;Normal;100.1;;70.8;26475.1;20650.6;1941.5;2019-05-06 06:35:00;2019-05-06 06:50:00;true;2167.0;32.0;No weather;
2019-05-06 22:39:47;2019-05-07 06:38:29;100%;95%;;0;0;Normal;101.1;;42.5;28722.3;25179.9;2202.0;2019-05-07 06:35:00;2019-05-07 06:50:00;true;4318.0;32.0;No weather;
2019-05-08 22:42:18;2019-05-09 06:37:41;86%;97%;;0;0;Normal;101.5;;89.5;28523.1;26811.7;1711.4;2019-05-09 06:35:00;2019-05-09 06:50:00;true;4651.0;32.0;No weather;
2019-05-09 22:52:26;2019-05-10 06:48:47;80%;98%;;0;0;Normal;102.1;;106.6;28580.1;24388.4;4191.8;2019-05-10 06:35:00;2019-05-10 06:50:00;true;5261.0;32.0;No weather;
2019-05-13 22:49:03;2019-05-14 06:43:18;85%;0%;;0;0;Normal;100.2;;91.1;28454.2;23617.0;1422.7;2019-05-14 06:40:00;2019-05-14 06:55:00;true;6372.0;32.0;No weather;
2019-05-14 23:16:44;2019-05-15 06:50:42;82%;95%;;0;0;Normal;100.9;;91.1;27238.2;23061.6;1815.9;2019-05-15 06:40:00;2019-05-15 06:55:00;true;6948.0;32.0;No weather;
2019-05-15 22:54:29;2019-05-16 06:49:46;83%;96%;;0;0;Normal;100.2;;98.4;28517.1;24429.6;2756.7;2019-05-16 06:40:00;2019-05-16 06:55:00;true;8062.0;32.0;No weather;
